id_farmacia,ean,stock,precio,promo
11,77944849,0,42.00,No Promo
11,77944856,0,42.00,No Promo
11,77944870,0,42.00,No Promo
11,77944986,0,117.00,No Promo
11,77945709,0,19.00,No Promo
11,77945938,0,106.00,No Promo
11,77945945,0,106.00,No Promo
11,77945952,0,106.00,No Promo
11,77945969,0,106.00,No Promo
11,77946188,0,117.00,No Promo
11,77946317,0,79.00,No Promo
11,77947031,0,117.00,No Promo
11,77947079,0,2881.00,No Promo
11,77947086,0,125.00,No Promo
11,77947123,0,125.00,No Promo
11,77947321,0,123.00,No Promo
11,77947338,0,123.00,No Promo
11,77947345,0,123.00,No Promo
11,77947352,0,123.00,No Promo
11,77947369,0,123.00,No Promo
11,77947376,0,7850.00,No Promo
11,77947567,0,167.00,No Promo
11,77947574,0,167.00,No Promo
11,77947581,0,167.00,No Promo
11,77947598,0,167.00,No Promo
11,77947628,0,167.00,No Promo
11,77947635,0,167.00,No Promo
11,77947932,0,4392.00,No Promo
11,77948373,0,42.00,No Promo
11,77948403,0,130.00,No Promo
11,77948410,0,130.00,No Promo
11,77948427,0,130.00,No Promo
11,77948694,0,175.00,No Promo
11,77948823,0,234.00,No Promo
11,77948847,0,248.00,No Promo
11,77948854,0,248.00,No Promo
11,77950819,0,48.50,No Promo
11,77951502,0,114.00,No Promo
11,77951816,0,182.00,No Promo
11,77951823,0,182.00,No Promo
11,77951830,0,182.00,No Promo
11,77951847,0,182.00,No Promo
11,77951854,0,182.00,No Promo
11,77951861,0,182.00,No Promo
11,77951908,0,182.00,No Promo
11,77952363,0,117.00,No Promo
11,77953544,0,193.00,No Promo
11,77953551,0,193.00,No Promo
11,77953568,0,193.00,No Promo
11,77953575,0,193.00,No Promo
11,77953612,0,182.00,No Promo
11,77953667,0,182.00,No Promo
11,77953681,0,182.00,No Promo
11,77953698,0,182.00,No Promo
11,77953704,0,182.00,No Promo
11,77953711,0,182.00,No Promo
11,77953728,0,182.00,No Promo
11,77953735,0,182.00,No Promo
11,77953742,0,182.00,No Promo
11,77953759,0,182.00,No Promo
11,77953780,0,182.00,No Promo
11,77953797,0,182.00,No Promo
11,77953810,0,182.00,No Promo
11,77953858,0,182.00,No Promo
11,77953865,0,182.00,No Promo
11,77953872,0,182.00,No Promo
11,77953896,0,270.00,No Promo
11,77953902,0,270.00,No Promo
11,77953919,0,270.00,No Promo
11,77953926,0,4568.00,No Promo
11,77954107,0,170.00,No Promo
11,77954152,0,182.00,No Promo
11,77954169,0,182.00,No Promo
11,77954206,0,182.00,No Promo
11,77954220,0,182.00,No Promo
11,77954244,0,182.00,No Promo
11,77954268,0,182.00,No Promo
11,77954367,0,53.00,No Promo
11,77954893,0,53.00,No Promo
11,77954978,0,8800.00,No Promo
11,77955159,0,200.00,No Promo
11,77955166,0,200.00,No Promo
11,77955173,0,200.00,No Promo
11,77955197,0,200.00,No Promo
11,77955500,0,130.00,No Promo
11,77955579,0,130.00,No Promo
11,77955722,0,182.00,No Promo
11,77955739,0,182.00,No Promo
11,77955746,0,182.00,No Promo
11,77955814,0,182.00,No Promo
11,77956514,0,214.00,No Promo
11,77956521,0,214.00,No Promo
11,77956545,0,42.00,No Promo
11,77957795,0,182.00,No Promo
